#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
1,T-Series @UCq-Fj5jknLsUf-MWSy4_brA,234M,-,India,,70.2M,SonyMusicIndiaVEVO,53800000,34161451219,3699
2,Cocomelon - Nursery Rhymes @UCbCmjCuTUZos6Inko4u57UQ,144M,-,United States,,43.2M,MrBeast,351000000,70950829122,844
3,SET India @UCpEhnqL0y41EpW2TvWAHD7Q,139M,-,India,,41.7M,Justin Bieber,74700000,33976431636,249
4,PewDiePie @UC-lHJZR3Gqxm24_Vd_AJ5Yw,111M,0.10%,United States,,33.3M,Marshmello,57600000,16389217605,511
5,MrBeast @UCX6OQ3DkcsbYNE6H8uQQuVA,100M,2.40%,United States,Celebrity Pets,30M,Baby Shark - Pinkfong Kids’ Songs & Stories,80100000,47980656037,3439
6,Like Nastya @UCJplp5SjeGSdVdwsfb9Q7lQ,97.3M,-,United States,,29.2M,Like Nastya,125000000,1.09462E+11,924
7,✿ Kids Diana Show @UCk8GzjMOrta8yxDcKfylJYw,94.2M,-,,,28.3M,Zee Music Company,114000000,73789618265,13293
8,Zee Music Company @UCFFbwnve3yF62-tVXkTyHqg,91.4M,-,India,,27.4M,T-Series,285000000,2.82985E+11,22570
9,WWE @UCJ5v_MCY6GNUBTO8-D3XoAg,91.2M,-,,,27.4M,BANGTANTV,79700000,24405274078,2690
10,Vlad and Niki @UCvlE5gTbOvjiolFlEm-c_Ow,84.3M,-,United States,Marketing and Advertising Music,25.3M,SET India,181000000,1.74038E+11,150480
11,BLACKPINK @UCOmHUn--16B90oW2L6FRR3A,82M,0.40%,South Korea,,24.6M,SonyMusicIndiaVEVO,53800000,34161451219,3699
12,Goldmines @UCyoXW-Dse7fURq30EWl_CUA,72M,-,India,,21.6M,Shemaroo Filmi Gaane,70700000,31369049032,9109
13,Justin Bieber @UCIwFjwMjI0y7PDBVEO9-bkQ,69.7M,-,Canada,,20.9M,Aaj Tak,69600000,36412028929,427066
14,Sony SAB @UC6-F5tO8uklgE9Zy8IvbdFw,69.2M,-,India,,20.8M,Goldmines,102000000,29534250890,9733
15,BANGTANTV @UCLkAepWjdylmXSltofFvsYQ,68.6M,0.50%,,,20.6M,Dude Perfect,60700000,18148771832,470
16,HYBE LABELS @UC3IZKseVpdzPSBaWxBxundA,68.1M,-,South Korea,Celebrity Music,20.4M,Tips Official,72200000,44069105787,7108
17,Canal KondZilla @UCffDXn7ycAzwL2LDlbyWOTw,66.3M,-,Brazil,,19.9M,El Reino Infantil,67700000,64940333134,1734
18,Zee TV @UCppHT7SZKKvar4Oc9J4oljQ,64M,-,India,,19.2M,HYBE LABELS,76500000,37836315462,2283
19,Shemaroo Filmi Gaane @UCP6uH_XlsxrXwZQ4DlqbqPg,61.1M,-,India,,18.3M,PewDiePie,110000000,29478015933,4806
20,Colors TV @UC55IWqFLDH1Xp7iu1_xknRA,59.2M,-,India,,17.8M,T-Series,285000000,2.82985E+11,22570
